Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,MACD,MACD_Signal,MACD_Histogram,RSI,Stoch_K,Stoch_D,BB_Mid,BB_High,BB_Low,BB_Width,ATR,OBV,VWAP,Daily_Return,Volatility_20
2024-10-23 00:00:00+05:30,24378.150390625,24604.25,24378.099609375,24435.5,284600,0.0,0.0,,,,24435.5,24435.5,0.0,0.0,0.0,,,,,,,,,0.0,24472.616536458336,,
2024-10-24 00:00:00+05:30,24412.69921875,24480.650390625,24341.19921875,24399.400390625,216700,0.0,0.0,,,,24432.061941964286,24434.08432904412,-2.022387079832697,-0.4044774159665394,-1.6179096638661576,,,,,,,,,-216700.0,24444.288100158337,-0.0014773427748562273,
2024-10-25 00:00:00+05:30,24418.05078125,24440.25,24073.900390625,24180.80078125,372600,0.0,0.0,,,,24408.132307610544,24424.151640895332,-16.019333284788445,-3.5274485897309207,-12.491884695057525,,,,,,,,,-589300.0,24353.62691401333,-0.008959220549493163,
2024-10-28 00:00:00+05:30,24251.099609375,24492.599609375,24134.900390625,24339.150390625,278600,0.0,0.0,,,,24401.56260123097,24420.81825853179,-19.25565730082235,-6.673090331949207,-12.582566968873142,,,,,,,,,-310700.0,24346.033978104664,0.0065485676346082045,
2024-10-29 00:00:00+05:30,24328.849609375,24484.5,24140.849609375,24466.849609375,332000,0.0,0.0,,,,24407.780411530402,24422.623409545253,-14.84299801485031,-8.307071868529428,-6.535926146320881,,,,,,,,,21300.0,24350.06682831972,0.0052466588480091225,
2024-10-30 00:00:00+05:30,24371.44921875,24498.19921875,24307.30078125,24340.849609375,285200,0.0,0.0,,,,24401.406049420362,24419.4165938523,-18.010544431937888,-10.247766381211122,-7.762778050726766,,,,,,,,,-263900.0,24355.23187141241,-0.005149825253829232,
2024-10-31 00:00:00+05:30,24349.849609375,24372.44921875,24172.599609375,24205.349609375,287000,0.0,0.0,,,,24382.73400751128,24411.021810147307,-28.287802636026754,-13.85577363217425,-14.432029003852504,,,,,,,,,-550900.0,24340.565935734936,-0.005566773640794054,
2024-11-01 00:00:00+05:30,24302.75,24368.25,24280.19921875,24304.349609375,38800,0.0,0.0,,,,24375.268826736396,24406.83858658761,-31.569759851216077,-17.398570875982617,-14.17118897523346,,,,,,,,,-512100.0,24340.140694282887,0.004090004961616156,
2024-11-04 00:00:00+05:30,24315.75,24316.75,23816.150390625,23995.349609375,285500,0.0,0.0,,,,24339.08604413055,24390.701763951824,-51.61571982127498,-24.24200066504109,-27.37371915623389,,,,,,,,,-797600.0,24304.481289319527,-0.0127137736646451,
2024-11-05 00:00:00+05:30,23916.5,24229.05078125,23842.75,24213.30078125,289500,0.0,0.0,,,,24327.10649528478,24383.7448626694,-56.638367384617595,-30.721274008956392,-25.917093375661203,,,,,,,,,-508100.0,24281.775791294156,0.00908305881860727,
2024-11-06 00:00:00+05:30,24308.75,24537.599609375,24204.05078125,24484.05078125,351100,0.0,0.0,,,,24342.05357013861,24387.678428103933,-45.62485796532201,-33.70199080022952,-11.922867165092491,,,,,,,,,-157000.0,24296.508520143678,0.011181870759630508,
2024-11-07 00:00:00+05:30,24489.599609375,24503.349609375,24179.05078125,24199.349609375,322200,0.0,0.0,,,,24328.462716732553,24380.29298423221,-51.83026749965575,-37.327646140114766,-14.502621359540981,,,,,,,,,-479200.0,24296.25877578388,-0.011628025706147627,
2024-11-08 00:00:00+05:30,24207.69921875,24276.150390625,24066.650390625,24148.19921875,298700,0.0,0.0,,,,24311.294764543738,24371.19126793879,-59.896503395051695,-41.84141759110216,-18.055085803949538,,,,,,,,,-777900.0,24285.38567681523,-0.002113709312467793,
2024-11-11 00:00:00+05:30,24087.25,24336.80078125,24004.599609375,24141.30078125,273400,0.0,0.0,,,,24295.104861372907,24362.175954735307,-67.07109336239955,-46.88735274536164,-20.183740617037913,42.79523604534366,41.257524652608254,,,,,,290.95703125,-1051300.0,24276.694372838007,-0.00028567088740283353,
