Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-23 00:00:00+05:30,24378.150390625,24604.25,24378.099609375,24435.5,284600,0.0,0.0
2024-10-24 00:00:00+05:30,24412.69921875,24480.650390625,24341.19921875,24399.400390625,216700,0.0,0.0
2024-10-25 00:00:00+05:30,24418.05078125,24440.25,24073.900390625,24180.80078125,372600,0.0,0.0
2024-10-28 00:00:00+05:30,24251.099609375,24492.599609375,24134.900390625,24339.150390625,278600,0.0,0.0
2024-10-29 00:00:00+05:30,24328.849609375,24484.5,24140.849609375,24466.849609375,332000,0.0,0.0
2024-10-30 00:00:00+05:30,24371.44921875,24498.19921875,24307.30078125,24340.849609375,285200,0.0,0.0
2024-10-31 00:00:00+05:30,24349.849609375,24372.44921875,24172.599609375,24205.349609375,287000,0.0,0.0
2024-11-01 00:00:00+05:30,24302.75,24368.25,24280.19921875,24304.349609375,38800,0.0,0.0
2024-11-04 00:00:00+05:30,24315.75,24316.75,23816.150390625,23995.349609375,285500,0.0,0.0
2024-11-05 00:00:00+05:30,23916.5,24229.05078125,23842.75,24213.30078125,289500,0.0,0.0
2024-11-06 00:00:00+05:30,24308.75,24537.599609375,24204.05078125,24484.05078125,351100,0.0,0.0
2024-11-07 00:00:00+05:30,24489.599609375,24503.349609375,24179.05078125,24199.349609375,322200,0.0,0.0
2024-11-08 00:00:00+05:30,24207.69921875,24276.150390625,24066.650390625,24148.19921875,298700,0.0,0.0
2024-11-11 00:00:00+05:30,24087.25,24336.80078125,24004.599609375,24141.30078125,273400,0.0,0.0
2024-11-12 00:00:00+05:30,24225.80078125,24242.0,23839.150390625,23883.44921875,255800,0.0,0.0
2024-11-13 00:00:00+05:30,23822.44921875,23873.599609375,23509.599609375,23559.05078125,304600,0.0,0.0
2024-11-14 00:00:00+05:30,23542.150390625,23675.900390625,23484.150390625,23532.69921875,257700,0.0,0.0
2024-11-18 00:00:00+05:30,23605.30078125,23606.80078125,23350.400390625,23453.80078125,263300,0.0,0.0
2024-11-19 00:00:00+05:30,23529.55078125,23780.650390625,23464.80078125,23518.5,297500,0.0,0.0
2024-11-21 00:00:00+05:30,23488.44921875,23507.30078125,23263.150390625,23349.900390625,420300,0.0,0.0
2024-11-22 00:00:00+05:30,23411.80078125,23956.099609375,23359.0,23907.25,367600,0.0,0.0
2024-11-25 00:00:00+05:30,24253.55078125,24351.55078125,24135.44921875,24221.900390625,687200,0.0,0.0
2024-11-26 00:00:00+05:30,24343.30078125,24343.30078125,24125.400390625,24194.5,230700,0.0,0.0
2024-11-27 00:00:00+05:30,24204.80078125,24354.55078125,24145.650390625,24274.900390625,295000,0.0,0.0
2024-11-28 00:00:00+05:30,24274.150390625,24345.75,23873.349609375,23914.150390625,366700,0.0,0.0
2024-11-29 00:00:00+05:30,23927.150390625,24188.44921875,23927.150390625,24131.099609375,282100,0.0,0.0
2024-12-02 00:00:00+05:30,24140.849609375,24301.69921875,24008.650390625,24276.05078125,220400,0.0,0.0
2024-12-03 00:00:00+05:30,24367.5,24481.349609375,24280.0,24457.150390625,339500,0.0,0.0
2024-12-04 00:00:00+05:30,24488.75,24573.19921875,24366.30078125,24467.44921875,348000,0.0,0.0
2024-12-05 00:00:00+05:30,24539.150390625,24857.75,24295.55078125,24708.400390625,361500,0.0,0.0
